"Date","S_level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3","natlev_m","natlev_ft"
"1849-09-01",4200.3608,4200.3608,1280.26997184,1280.26997184,2750452425.65656,1565281106.13574,12354975706.4274,7194235114.22058,19549210820.648,1280.26997184,4200.3608
"1849-10-01",4200.0728,4200.0728,1280.18218944,1280.18218944,2684830954.10894,1557675482.60189,12113672456.7125,7056911087.8017,19170583544.5142,1280.18218944,4200.0728
"1849-11-01",4199.97041666667,4199.97041666667,1280.150983,1280.150983,2662751281.73575,1554055690.73893,12029080834.8945,7008298995.93655,19037379830.831,1280.150983,4199.97041666667
"1849-12-01",4200.13291666667,4200.13291666667,1280.200513,1280.200513,2698528676.78675,1559263068.48653,12164041717.2288,7085575888.91821,19249617606.147,1280.200513,4200.13291666667
"1850-01-01",4200.30083333333,4200.30083333333,1280.251694,1280.251694,2736788880.82861,1563697481.51337,12304732124.6873,7165641836.03468,19470373960.722,1280.251694,4200.30083333333
"1850-02-01",4200.46875,4200.46875,1280.302875,1280.302875,2775049084.87047,1568131894.5402,12445422532.1457,7245707783.15115,19691130315.2969,1280.302875,4200.46875
"1850-03-01",4200.62041666667,4200.62041666667,1280.349103,1280.349103,2801278524.68116,1571253432.00712,12574710810.0642,7318361718.42151,19893072528.4857,1280.349103,4200.62041666667
"1850-04-01",4200.78833333333,4200.78833333333,1280.400284,1280.400284,2827925406.82856,1574455503.36408,12718487264.8803,7398896631.50209,20117383896.3824,1280.400284,4200.78833333333
"1850-05-01",4200.95083333333,4200.95083333333,1280.449814,1280.449814,2853712712.13248,1577554282.09661,12857625769.541,7476833644.16066,20334459413.7017,1280.449814,4200.95083333333
"1850-06-01",4201.11875,4201.11875,1280.500995,1280.500995,2892122539.58462,1584260395.90437,13006316196.2012,7557976906.10213,20564293102.3033,1280.500995,4201.11875
"1850-07-01",4201.044,4201.044,1280.4782112,1280.4782112,2872855914.62665,1580629255.17626,12939219268.0963,7521742940.68033,20460962208.7766,1280.4782112,4201.044
"1850-08-01",4200.7216,4200.7216,1280.37994368,1280.37994368,2817335420.11706,1573182938.23125,12661347718.9662,7366890498.30354,20028238217.2697,1280.37994368,4200.7216
"1850-09-01",4200.3992,4200.3992,1280.28167616,1280.28167616,2759201955.19628,1566295189.27359,12387149473.0562,7212544984.40984,19599694457.466,1280.28167616,4200.3992
"1850-10-01",4200.0872,4200.0872,1280.18657856,1280.18657856,2688112027.68636,1558055763.77858,12125737619.1983,7063777289.12271,19189514908.321,1280.18657856,4200.0872
"1850-11-01",4200.00459770115,4200.00459770115,1280.16140137931,1280.16140137931,2669290901.28405,1555874367.98658,12056528580.494,7024390899.29711,19080919479.7911,1280.16140137931,4200.00459770115
"1850-12-01",4200.24597701149,4200.24597701149,1280.2349737931,1280.2349737931,2724289739.98298,1562248812.99792,12258770288.8192,7139485270.09341,19398255558.9126,1280.2349737931,4200.24597701148
"1851-01-01",4200.49540229885,4200.49540229885,1280.31099862069,1280.31099862069,2781121873.31064,1568835739.51026,12467753387.4418,7258416119.92761,19726169507.3694,1280.31099862069,4200.49540229885
"1851-02-01",4200.74482758621,4200.74482758621,1280.38702344828,1280.38702344828,2821021431.54681,1573625874.54009,12681236036.5881,7378030736.34217,20059266772.9303,1280.38702344828,4200.74482758622
"1851-03-01",4200.97011494253,4200.97011494253,1280.45569103448,1280.45569103448,2856772532.08837,1577921970.96107,12874135395.8155,7486081342.74041,20360216738.5559,1280.45569103448,4200.97011494252
"1851-04-01",4201.21954022988,4201.21954022988,1280.53171586207,1280.53171586207,2918100968.46331,1589156496.35577,13096787297.3178,7606833490.77933,20703620788.0972,1280.53171586207,4201.21954022989
