,time,value,days
188,1999-04-30,174.997824,188
189,1999-05-01,188.9863232,189
190,1999-05-02,197.4247296,190
191,1999-05-03,232.2543936,191
192,1999-05-04,241.7688384,192
193,1999-05-05,248.1118016,193
194,1999-05-06,250.745264,194
195,1999-05-07,254.9361504,195
196,1999-05-08,254.3131808,196
197,1999-05-09,249.9523936,197
198,1999-05-10,237.86112,198
199,1999-05-11,226.7609344,199
200,1999-05-12,214.6130272,200
201,1999-05-13,214.216592,201
202,1999-05-14,203.0597728,202
203,1999-05-15,208.2983808,203
204,1999-05-16,213.8484736,204
205,1999-05-17,208.2983808,205
206,1999-05-18,200.2847264,206
207,1999-05-19,197.4530464,207
208,1999-05-20,192.4409728,208
209,1999-05-21,178.6506912,209
210,1999-05-22,167.0408032,210
211,1999-05-23,169.1079296,211
212,1999-05-24,181.56732159999999,212
213,1999-05-25,186.1546432,213
214,1999-05-26,199.6900736,214
215,1999-05-27,212.0361984,215
216,1999-05-28,206.0613536,216
217,1999-05-29,203.3429408,217
218,1999-05-30,209.119568,218
219,1999-05-31,209.14788479999999,219
220,1999-06-01,201.5023488,220
221,1999-06-02,197.4530464,221
222,1999-06-03,204.4756128,222
223,1999-06-04,200.482944,223
224,1999-06-05,200.0015584,224
225,1999-06-06,202.46511999999998,225
226,1999-06-07,220.2480704,226
227,1999-06-08,228.4033088,227
228,1999-06-09,227.24232,228
229,1999-06-10,223.5328192,229
230,1999-06-11,221.3241088,230
231,1999-06-12,203.7676928,231
232,1999-06-13,180.9726688,232
233,1999-06-14,171.0901056,233
234,1999-06-15,162.1419968,234
235,1999-06-16,151.9479488,235
236,1999-06-17,149.8808224,236
237,1999-06-18,144.4439968,237
238,1999-06-19,140.6778624,238
239,1999-06-20,136.6568768,239
240,1999-06-21,129.2378752,240
241,1999-06-22,120.6012512,241
242,1999-06-23,111.31334079999999,242
243,1999-06-24,102.1953312,243
244,1999-06-25,94.6347456,244
245,1999-06-26,90.0191072,245
246,1999-06-27,70.508832,246
247,1999-06-28,67.7621024,247
248,1999-06-29,59.182112,248
249,1999-06-30,55.8124128,249
250,1999-07-01,55.21776,250
251,1999-07-02,54.8779584,251
252,1999-07-03,55.1044928,252
253,1999-07-04,49.4411328,253
254,1999-07-05,38.2559968,254
255,1999-07-06,40.7478752,255
256,1999-07-07,41.2292608,256
257,1999-07-08,28.458384,257
258,1999-07-09,43.5229216,258
259,1999-07-10,35.3393664,259
260,1999-07-11,41.9938144,260
261,1999-07-12,49.1862816,261
262,1999-07-13,32.6775872,262
263,1999-07-14,19.8500768,263
264,1999-07-15,41.115993599999996,264
265,1999-07-16,37.6047104,265
266,1999-07-17,40.7195584,266
267,1999-07-18,39.6718368,267
268,1999-07-19,44.089257599999996,268
269,1999-07-20,42.786684799999996,269
270,1999-07-21,37.9728288,270
271,1999-07-22,33.555408,271
272,1999-07-23,30.7520448,272
273,1999-07-24,44.4856928,273
274,1999-07-25,32.904121599999996,274
275,1999-07-26,45.2219296,275
276,1999-07-27,35.396,276
277,1999-07-28,23.078192,277
278,1999-07-29,38.1710464,278
279,1999-07-30,37.5763936,279
280,1999-07-31,36.3587712,280
281,1999-08-01,35.254416,281
282,1999-08-02,43.8627232,282
283,1999-08-03,36.1888704,283
284,1999-08-04,42.0787648,284
285,1999-08-05,39.8983712,285
286,1999-08-06,41.1726272,286
287,1999-08-07,34.4898624,287
288,1999-08-08,32.989072,288
289,1999-08-09,36.528672,289
290,1999-08-10,27.9486816,290
291,1999-08-11,33.3005568,291
292,1999-08-12,28.2601664,292
293,1999-08-13,47.0908384,293
294,1999-08-14,40.776192,294
295,1999-08-15,36.8401568,295
296,1999-08-16,39.3037184,296
297,1999-08-17,36.6985728,297
298,1999-08-18,46.864304,298
299,1999-08-19,29.4211552,299
300,1999-08-20,29.8459072,300
301,1999-08-21,33.7536256,301
302,1999-08-22,37.2932256,302
303,1999-08-23,26.7310592,303
304,1999-08-24,32.4793696,304
305,1999-08-25,29.02472,305
306,1999-08-26,34.0651104,306
307,1999-08-27,36.10392,307
308,1999-08-28,36.528672,308
309,1999-08-29,31.176796799999998,309
310,1999-08-30,37.6896608,310
311,1999-08-31,37.010057599999996,311
312,1999-09-01,44.6839104,312
313,1999-09-02,51.8480608,313
314,1999-09-03,52.3577632,314
315,1999-09-04,46.2696512,315
316,1999-09-05,49.5544,316
317,1999-09-06,55.0478592,317
318,1999-09-07,51.5082592,318
319,1999-09-08,31.8280832,319
320,1999-09-09,48.0819264,320
321,1999-09-10,54.226672,321
322,1999-09-11,54.4532064,322
323,1999-09-12,53.4621184,323
324,1999-09-13,53.518752,324
325,1999-09-14,52.4427136,325
326,1999-09-15,42.7017344,326
327,1999-09-16,40.6629248,327
328,1999-09-17,46.9492544,328
329,1999-09-18,51.9330112,329
330,1999-09-19,32.6492704,330
331,1999-09-20,43.466288,331
332,1999-09-21,52.6126144,332
333,1999-09-22,53.660336,333
334,1999-09-23,51.9330112,334
335,1999-09-24,57.709638399999996,335
336,1999-09-25,57.9928064,336
337,1999-09-26,48.13856,337
338,1999-09-27,52.4710304,338
339,1999-09-28,54.0284544,339
340,1999-09-29,42.8716352,340
341,1999-09-30,46.694403199999996,341
342,1999-10-01,53.603702399999996,342
343,1999-10-02,53.094,343
344,1999-10-03,35.254416,344
345,1999-10-04,23.7011616,345
346,1999-10-05,41.4274784,346
347,1999-10-06,44.5706432,347
348,1999-10-07,37.3498592,348
349,1999-10-08,47.8837088,349
350,1999-10-09,55.8973632,350
351,1999-10-10,61.1359712,351
352,1999-10-11,65.270224,352
353,1999-10-12,65.6100256,353
354,1999-10-13,65.6666592,354
355,1999-10-14,58.04944,355
356,1999-10-15,33.8102592,356
357,1999-10-16,27.6655136,357
358,1999-10-17,38.1710464,358
