,sample_dt,mean_air_T(C),avg_wind(m/s),s_pres(kPa),dp_T(C),max_air_T(K),min_air_T(K),evap(m/d)
1,2017-01-02,-3.0370370370370376,2.2512696938121013,86.31939605104168,-7.787037037037037,272.2981481481481,267.9277777777777,0.0005699267231945
2,2017-01-03,-2.2407407407407414,1.7841248017801246,86.95276556020835,-6.887731481481483,272.5574074074074,269.261111111111,0.0005368540332569
3,2017-01-04,-1.5740740740740735,4.38688697493119,86.21021308895834,-6.05787037037037,273.5203703703704,269.63148148148144,0.0007982669373209
4,2017-01-05,-4.018518518518518,5.730042565222889,86.65420338333334,-16.34027777777778,271.85370370370373,266.4092592592592,0.0016448891948373
5,2017-01-06,-8.722222222222221,2.5343574977629566,87.570282873125,-17.525462962962965,268.187037037037,260.6685185185185,0.0006308607339363
6,2017-01-07,-12.97222222222222,1.9761973629940843,87.70338544895833,-15.219907407407408,263.4277777777777,256.9277777777777,0.0002820395573011
7,2017-01-08,-7.805555555555556,2.4897007896687406,87.33601023333335,-8.972222222222223,267.5388888888889,263.15,0.000305855178605
8,2017-01-09,0.3703703703703696,3.5737615172450212,86.281624889375,-2.479166666666667,277.5203703703704,269.5203703703704,0.000637922298914
9,2017-01-10,3.944444444444444,6.789391546445776,85.98090105,-3.425925925925926,280.8537037037037,273.33518518518514,0.0018545222000925
10,2017-01-11,4.351851851851852,4.994406233257138,85.77158346104167,-1.402777777777778,279.59444444444443,275.4092592592593,0.0012873841125306
11,2017-01-12,1.3148148148148142,2.8501697374052535,86.7577344575,-5.16087962962963,276.4092592592592,272.5203703703704,0.000906838606247
12,2017-01-13,-1.833333333333333,2.861508658069176,87.52899478270834,-6.6238425925925934,272.3722222222222,270.26111111111106,0.0006864067832652
13,2017-01-14,1.111111111111111,2.2314063900517938,87.80639607125,-6.699074074074074,276.6685185185185,271.8537037037037,0.0008790375326398
14,2017-01-15,-0.6851851851851851,1.748399435304752,87.32740122479169,-7.282407407407408,274.5203703703703,270.4092592592592,0.0006979834554749
15,2017-01-16,-2.148148148148148,2.5700828642383295,87.63598944333333,-10.030092592592592,273.187037037037,268.81666666666666,0.0008495916562067
