,time,value,pred2
0,2000-01-01,92.3977184,37.368812033754686
1,2000-01-02,105.621664,37.420078727259984
2,2000-01-03,96.418704,37.476785953609436
3,2000-01-04,86.70604159999999,37.5391940914274
4,2000-01-05,83.6195104,37.60755503480984
5,2000-01-06,88.54663359999999,37.682111798220376
6,2000-01-07,98.3442464,37.76309813245114
7,2000-01-08,95.3709824,37.85073815213194
8,2000-01-09,84.9787168,37.94524597525752
9,2000-01-10,107.6604736,38.04682537518834
10,2000-01-11,81.1842656,38.15566944556502
11,2000-01-12,65.1003232,38.271960278561636
12,2000-01-13,66.119728,38.395868656886435
13,2000-01-14,76.2288256,38.52755375992249
14,2000-01-15,66.5161632,38.66716288438365
15,2000-01-16,57.7379552,38.8148311798437
16,2000-01-17,62.919929599999996,38.97068139947883
17,2000-01-18,61.6456736,39.134823666345234
18,2000-01-19,88.17851519999999,39.307355255495054
19,2000-01-20,66.6577472,39.488360392214645
20,2000-01-21,76.7102112,39.67791006665005
21,2000-01-22,65.5817088,39.876061865064706
22,2000-01-23,65.5817088,40.08285981795437
23,2000-01-24,68.0169536,40.29833426522423
24,2000-01-25,59.7767648,40.5225017386122
25,2000-01-26,58.615776,40.75536486152235
26,2000-01-27,57.2848864,40.996912266410554
27,2000-01-28,56.46086752,41.24711852984431
28,2000-01-29,54.33427584,41.50594412533663
29,2000-01-30,49.480776320000004,41.773335394032884
30,2000-01-31,48.4075696,42.04922453330797
31,2000-02-01,50.4180624,42.33352960330949
32,2000-02-02,51.33269504,42.626154551461006
33,2000-02-03,46.952086079999994,42.92698925491799
34,2000-02-04,47.3173728,43.23590958094718
35,2000-02-05,49.166459839999995,43.55277746517856
36,2000-02-06,50.53982464,43.87744100765779
37,2000-02-07,51.3383584,44.20973458660497
38,2000-02-08,48.5916288,44.54947898976492
39,2000-02-09,50.225508160000004,44.89648156321224
40,2000-02-10,51.4516256,45.250536377453734
41,2000-02-11,47.43064,45.611424410649896
42,2000-02-12,49.5827168,45.97891374875606
43,2000-02-13,62.183692799999996,46.352759802364
44,2000-02-14,62.8349792,46.73270554000371
45,2000-02-15,65.8931936,47.11848173764609
46,2000-02-16,73.9634816,47.5098072441268
47,2000-02-17,71.2450688,47.90638926219282
48,2000-02-18,70.8769504,48.30792364485398
49,2000-02-19,64.5906208,48.71409520670328
50,2000-02-20,72.20784,49.12457804985158
51,2000-02-21,69.6876448,49.53903590410445
52,2000-02-22,76.7668448,49.95712248099167
53,2000-02-23,66.1480448,50.37848184124305
54,2000-02-24,71.5565536,50.802748775287604
55,2000-02-25,79.4852576,51.229549196337544
56,2000-02-26,77.7862496,51.658500545602834
57,2000-02-27,69.7442784,52.08921220916749
58,2000-02-28,72.3211072,52.521285946044266
59,2000-02-29,80.0232768,52.9543163269108
60,2000-03-01,71.1034848,53.38789118301703
61,2000-03-02,83.7894112,53.82159206474131
62,2000-03-03,69.17794239999999,54.25499470926036
63,2000-03-04,63.7128,54.687669516787636
64,2000-03-05,70.2539808,55.11918203482297
65,2000-03-06,71.7264544,55.54909344984735
